Links,Status,Data,Due date,Content Done?,HashTags,Stage,Notes
https://www.instagram.com/reel/DErmHi1MVV4/?utm_source=ig_web_copy_link,Downloaded,,1/13/2025 0:00:00,FALSE,,Pre-event,
https://www.instagram.com/reel/DElJZ51zwfl/?utm_source=ig_web_copy_link,Completed,1,1/15/2025 0:05:30,FALSE,,Day of,
https://www.instagram.com/p/DCCDGRvSNzY/,Completed,2,1/15/2025 19:30:00,FALSE,,Post-event,
https://www.instagram.com/p/DDeW3WbBQO4/,Completed,3,1/15/2025 21:30:00,FALSE,,,
https://www.instagram.com/p/DDHtBDjIKBq/,Completed,4,1/16/2025 2:30:00,FALSE,,,
https://www.instagram.com/p/C_8rmtACad4/,Completed,5,1/16/2025 5:30:00,FALSE,,,
https://www.instagram.com/p/DDznM7aPsc0/,Completed,6,1/16/2025 20:30:00,FALSE,,,
https://www.instagram.com/p/DEmeBKeOZjj/,Completed,7,1/16/2025 23:55:00,FALSE,,,
https://www.instagram.com/p/DA8VypKotlk/,Completed,,1/17/2025 2:30:00,FALSE,,,
https://www.instagram.com/p/C_hx0GMtubr/,Completed,,1/17/2025 5:30:00,FALSE,,,
https://www.instagram.com/p/DCqjhpXvEL6/,Completed,,1/17/2025 20:30:00,FALSE,,,
https://www.instagram.com/p/C-csqbMgRL1/,Completed,,1/17/2025 23:55:00,FALSE,,,
https://www.instagram.com/p/DDNYTjBOBb0/,Completed,,1/18/2025 2:30:00,FALSE,,,
https://www.instagram.com/p/DD2sEjho2L6/,Completed,,1/18/2025 5:30:00,FALSE,,,
https://www.instagram.com/p/C_eAwmeSQYF/,Completed,,1/18/2025 18:30:00,FALSE,,,
https://www.instagram.com/p/DEH8SIfNW6_/,Completed,,1/18/2025 21:30:00,FALSE,,,
https://www.instagram.com/p/DA--DUQgnki/,Completed,,1/18/2025 23:55:00,FALSE,,,
https://www.instagram.com/p/DCqO2j7oaQu/,Completed,"After 11 months traveling solo, I learned to truly enjoy being alone. Don't get me wrong, I love meeting new people & traveling with them and I do it often.

But now, I also LOVE my time alone and the quote ""better be solo than with the wrong people"" never made more sense to me than now.

#hitchhiking #womanwhoexplore #sologirltravel #solowomantraveler #budgettravel #hikemoreworryless #wildwoman #travelwithme #dailytravelvlogs #womanoutdoors #cheerstoadventures #type2fun #hitchhikingtrip #hitchhikingstories #womanwhotravel #budgettraveltips#passionoutdoors #learnoutdoors #backpackingessentials #safeadventure #solofemalehiker #solofemale #outdoortips #cheerstoadventure #hikingblogger #hikingtips #womanwhohike #outdoorexploration #hikingblog #outdooreducator",1/19/2025 2:30:00,FALSE,,,
https://www.instagram.com/p/DAjCaozNQKD/,Completed,"Freefall adventure. Skydiving.

#freefall #skydiving #adrenaline #adrenalinerush #extremesports #lifetime #extremejump #adventuretime #adventure #outdoorsports #outdoorsadventures #bucketlist #extremesportpin #bringmetolife",1/19/2025 5:30:00,FALSE,,,
https://www.instagram.com/p/DEs1D5fzXVW/,Completed,"Afternoon trails with the cousin 🏃‍♂️ ⛰️
🎥 @osmo_global

#trailrunning #parkourtrailrunning #parkour #movement #training #functionalfitness #hawaii",1/19/2025 18:30:00,FALSE,,,
https://www.instagram.com/p/DEkg2i2JyOq/,Completed,"🥾💪 Trekking isn’t easy. Each step challenges your endurance, and every kilometer tests your determination. But when you reach the top and the views take your breath away, every effort is worth it. 🏔️✨

🏔✨ The mountains teach us that the best things in life aren’t always easy, but they’re always worth it. 🌄🌿

📸 @thegrittyhiker

#trekking #hikingadventures #naturelovers #exploreperu #visitperu #travelperu #bucketlist #perutravel #mountainlife",1/19/2025 21:30:00,FALSE,,,
https://www.instagram.com/p/DB0noYFo-pI/,Completed,,1/19/2025 23:55:00,FALSE,,,
https://www.instagram.com/p/DAiny1ZvMuF/,Completed,,1/20/2025 2:30:00,FALSE,,,
